"","dPSI_NGN2_1755497.40nM"
"POMT2",0.966
"DENND1A",0.926569463067072
"EVC",0.926490362558138
"WDR27",0.914454251852659
"LIMCH1",0.869
"GXYLT1",0.853848536016161
"PDE7A",0.852
"LINC02210",0.848069558741701
"GCFC2",0.84501202697351
"C12orf4",0.832788694425748
"ARL15",0.831
"CACNA1C",0.82358500577889
"STX18-AS1",0.816813379661156
"NUP58",0.799
"ABCB8",0.788
"XRN2",0.785944143104131
"PDXDC1",0.783614844593679
"CHRM2",0.778896767444465
"AXIN1",0.769
"RAF1",0.755
"ASCC3",0.754142144714933
"ZMYM6",0.754090449973554
"HDX",0.752
"TAF2",0.744
"KDM6A",0.74
"CLASP2",0.728804588336651
"LRRC42",0.707
"DHFR",0.698925118401842
"RAB3IP",0.695
"AC026786.1",0.688659169916607
"LRIG2",0.675931400099227
"SENP6",0.671286798917657
"ZFP82",0.670380746516952
"GALC",0.67
"AC068547.1",0.668241121110422
"MELTF",0.656834504530684
"LARP7",0.656
"USP9Y",0.631958138496396
"SETX",0.631373303406603
"PMS1",0.623099935882993
"AC114490.2",0.618825635493322
"ARMH3",0.617240154685446
"STRN3",0.617
"STRN",0.60838825280961
"CACNB4",0.593521875685815
"TIAM1",0.585303377930691
"APLP2",0.585
"PITPNB",0.583985807771781
"WNK1",0.583779576376062
"DENND4A",0.568
"RBBP8",0.557245331145712
"SNAP23",0.545490534174582
"MEMO1",0.543332271675353
"MLLT10",0.534257781953623
"DPY30",0.533582431362118
"STXBP5L",0.533284681777198
"PNISR",0.530318183325577
"PCDH10",0.52596402646059
"MACROD2",0.519607201883839
"ENOX1",0.516126335709384
"AC010538.1",0.508775489755315
"CDC37L1",0.507019490907149
"WDR17",0.506
"DCTN2",0.496580266039399
"SF3B1",0.495
"TENT2",0.493251340692973
"LYRM1",0.493
"GPHN",0.491119502757497
"HAUS3",0.489336426398187
"CDCA4",0.487102311001107
"NR1H3",0.48437857864379
"LARS1",0.484
"GNAQ",0.483097747403178
"ENAH",0.483002835062848
"CSTF3",0.482837106432312
"DLG5",0.473813836820027
"ATP8A2",0.471418304591662
"TMEM50B",0.467
"L3MBTL2",0.466136419746335
"SKP1",0.458
"ELMO2",0.452
"RAPGEF1",0.452
"DPH1",0.447960492387128
"AL031315.1",0.445473245827036
"FNBP4",0.440089132520852
"AC022433.1",0.436219169812284
"ARHGAP5",0.434043761075878
"SULF1",0.433936549803012
"RCC1",0.431696981936411
"FGD4",0.431481861689023
"ELP4",0.429497515052555
"NKAIN2",0.422054038235435
"CLK4",0.421
"SERGEF",0.421
"BECN1",0.419508707567373
"ERCC8",0.418
"SLC25A17",0.418
"C19orf47",0.417319396029052
"ANKS6",0.413513957183024
"MEAK7",0.411558958428707
"ZNF618",0.407
"LINC01011",0.405066490147094
"ADGRL1",0.403608354184848
"RAP1A",0.402
"KLHL1",0.400181452059447
"FAAP20",0.4
"CTNS",0.399968019261692
"AC138894.1",0.396
"CLN3",0.396
"MORN1",0.395480318746165
"SSBP1",0.39288486989441
"AGPS",0.391857624901439
"SREK1",0.39
"C10orf82",0.382
"GABRB2",0.38142495660383
"ADAM17",0.381
"NKTR",0.38
"AC007743.1",0.378545902134383
"CYB5B",0.372742511266688
"SF3B3",0.37266729841505
"VPS29",0.371666436543904
"DENND6B",0.371207209118024
"ZMIZ2",0.37
"SLC35A5",0.363345397362987
"COPS7B",0.360285709431384
"ZDHHC13",0.36
"SNX24",0.35811178297467
"MSL3",0.358
"P4HA2",0.356005474611501
"CACNA1H",0.352
"SPRYD7",0.351616726460499
"SLC7A6",0.349
"ZFAND1",0.347
"DNAJC27",0.346528895082979
"EXOC6B",0.345
"ATG4A",0.341
"APIP",0.340522069979759
"MYT1L",0.337225836726501
"LNPK",0.335066798636752
"C14orf132",0.331
"ARMCX6",0.33
"SCLY",0.327
"MTHFSD",0.326008194546276
"SCO1",0.325828611914518
"STRN4",0.325
"ZNF266",0.324
"HDAC2-AS2",0.323392065177446
"FAM174A",0.322781395638347
"SH3YL1",0.322719281983821
"PRKG1",0.322
"FBXL16",0.321311023465051
"MRPL39",0.320790549410764
"PTPRT",0.319235809412176
"EMSY",0.316072615965151
"TET1",0.315219380692005
"ATG5",0.315
"MFN2",0.314
"RUNDC3B",0.314
"SNHG14",0.311
"NF1",0.309069631529661
"OSGEPL1",0.309
"CRYL1",0.306
"GGCT",0.306
"MYCBP2",0.306
"NQO2",0.306
"DLGAP4",0.301
"TSPAN7",0.300240796636301
"UNC45A",0.289596220904015
"CEP57",0.286818406439172
"MYO6",0.282146394143727
"FAM162A",0.280008325741449
"WNK3",0.278434848955244
"NLN",0.272417882250909
"CACNA2D1",0.270722667643613
"ZNF10",0.268533487605046
"JAZF1",0.265931357688415
"FBL",0.265193360111587
"TPTEP2",0.258589968383557
"INPP5K",0.257468818181098
"CHD9",0.255575058987069
"ERRFI1",0.254068563809584
"HSD17B4",0.251713850339505
