"","dPSI_NGN2.4741.3x"
"GCFC2",0.987035450795811
"AC009022.1",0.922387927732302
"MEMO1",0.894765581478395
"DPY30",0.89184239525638
"PDXDC2P",0.875580809872877
"KCNT2",0.843703697361701
"GALC",0.835
"POMT2",0.833
"LIMCH1",0.815
"PMS1",0.765284349740853
"CNGA3",0.71944348586713
"XRN2",0.713964005677568
"ASCC3",0.647778753028949
"ARL15",0.62
"WDR17",0.611
"WDR27",0.604794283864442
"DLGAP4",0.604
"NKAIN2",0.599798633890157
"RAF1",0.597
"RAPGEF1",0.592
"SNAP23",0.59
"WDR91",0.579
"SLC24A3",0.561289002562214
"APIP",0.555328802401923
"LRRC42",0.555
"THSD7B",0.546169205791438
"APLP2",0.545
"KLHL1",0.54346942742674
"TPTEP2",0.542
"FSIP2",0.541
"ABCB8",0.537733585578864
"SENP6",0.503
"FAM162A",0.499012110230093
"MELTF",0.49724763183135
"AL031315.1",0.492164202347589
"PDE7A",0.484
"GLRA3",0.480157613737024
"TAF2",0.479086362582598
"TSPAN4",0.462
"TNFRSF25",0.455
"CACNA1H",0.454
"KDM6A",0.450828172177182
"MIR100HG",0.45
"TTN-AS1",0.448
"LARP7",0.438
"EVC",0.43631483411871
"CLASP2",0.434150677335857
"TENT2",0.432211692265065
"HTT",0.430697325085688
"MATK",0.422662852427404
"SOS2",0.420726083810286
"MRPS5",0.411880923601872
"SERGEF",0.41
"HAUS3",0.409660521484057
"UNKL",0.401266312359745
"UBE2Q2P1",0.400629571382177
"STRN",0.393079202508522
"TAF1",0.38632219248721
"QKI",0.381
"LRIG2",0.378937993772999
"ADAM17",0.374
"FHOD3",0.373432135182466
"WDR90",0.368
"VDAC3",0.364579557164164
"FGF12",0.363332057352253
"SKP1",0.363
"ZCCHC9",0.35977740624324
"PDXDC1",0.359
"INTU",0.356
"CDC37L1",0.354944575535837
"SEC22A",0.352585831779593
"TSPAN7",0.347
"ENAH",0.346946868055893
"MAPK10",0.343
"INO80E",0.334
"SLC25A17",0.33
"SETX",0.329819696788235
"ZFP82",0.324820307375301
"SYNE4",0.323
"PIGA",0.321
"EIF2D",0.319
"ERCC8",0.319
"LINC02210",0.315881311277062
"CLN3",0.315
"AXIN1",0.314
"DENND5A",0.313
"STRN3",0.312
"PCDH10",0.311734763107082
"LINC00662",0.311
"ZMIZ2",0.311
"MSL3",0.309
"PPHLN1",0.308975424698938
"RAP1A",0.307
"UBAP2L",0.306885313295733
"NDUFAF7",0.306
"SLC7A6",0.306
"TARBP1",0.306
"VAV2",0.3050127158581
"DHFR",0.295502941093558
"METTL6",0.293304088922125
"FNIP2",0.275685148841383
"C12orf4",0.270881334139115
"SAR1A",0.260675481810169
"ZNF618",0.257423864490055
"ZSCAN26",0.253367250015506
