"","dPSI_iPSC_2006152_10x_bridge"
"ARL15",0.9
"ASAP1",0.895
"C12orf4",0.842459854937008
"POMT2",0.815
"GALC",0.753
"ANKRD18CP",0.732067877616815
"CLASP2",0.719810975445094
"HAUS3",0.709273478007797
"LARP7",0.682
"ZNF66",0.661885620679731
"TPTEP2",0.66
"ADAMTS19",0.658587785597257
"FBN2",0.657362440955857
"HDX",0.649
"LYRM1",0.629
"AC104109.3",0.628351461279344
"KDM6A",0.612
"PDE7A",0.605
"HTT",0.600867260941735
"CENPI",0.595819932391463
"MATK",0.593588486961157
"SENP6",0.589
"ZFP82",0.568304162979218
"EXOC6B",0.556
"AC009022.1",0.552186561741685
"LRRC42",0.547
"FOXM1",0.537
"NAV2",0.535
"ZNF730",0.528381442140971
"ERGIC3",0.523
"C14orf132",0.514655182940144
"PDXDC2P",0.490630125066656
"WDR27",0.486072265681771
"KCNT2",0.485006837862807
"ZNF208",0.469238819565288
"DYRK1A",0.461982024689078
"LINC02210",0.457157419184534
"MYCBP2",0.451
"CHROMR",0.446
"MAN1B1",0.444477649406115
"TAF2",0.444
"WNK2",0.443130239259046
"HSD17B4",0.439484496819114
"GTF2IP12",0.42878729307096
"TNRC6A",0.42281308482942
"RASSF8-AS1",0.422
"GCFC2",0.421507141043457
"VPS29",0.42
"ANO9",0.419433710792862
"ZMYM6",0.412679855754027
"DLGAP4",0.408456959205511
"BECN1",0.406623794939255
"MMS22L",0.405959574789657
"DENND5A",0.392677686337548
"FAAP20",0.39
"ABCB8",0.389171365742491
"TMEM214",0.387503993056662
"XPO1",0.385
"FES",0.380140064721746
"ANXA11",0.379259178516238
"TCF4",0.37883377326177
"SKP1",0.378
"FAM162A",0.375767133828234
"APLP2",0.374
"GRAMD2B",0.373
"NOD1",0.373
"NUP58",0.368
"AXIN1",0.365
"ZNF618",0.363560394521337
"CROCCP2",0.361056779563478
"CHD9",0.353743162139111
"AC138894.1",0.353
"RCC1",0.349795282367441
"PNISR",0.348715823833527
"EVC",0.346048485983769
"TENT2",0.34508492452506
"GGCT",0.344
"RAP1A",0.343
"ODR4",0.339065724355375
"ASAP2",0.336932975913931
"RAF1",0.336
"MADD",0.333
"CCT7",0.33
"SPIDR",0.329598952897309
"WNK1",0.324933856792791
"KIF21A",0.319769841448499
"VAMP1",0.319
"PARGP1",0.316
"STRN3",0.314
"DIABLO",0.31
"CACNA1H",0.308580252699749
"ELMO2",0.306
"DHFR",0.30512925806903
"PDXDC1",0.304004037617732
"SLC25A17",0.302
"STRN",0.300736687070085
"CACNA2D1",0.296826813632021
"RAB2B",0.294449613364464
"PPP1R26",0.293038972588813
"ARMCX6",0.285497982812275
"ZNF680",0.284096310176394
"ENAH",0.283487681971536
"TIAM1",0.273348766574876
"PLCH1",0.272813882678864
"STOX2",0.268140089217714
"TARBP1",0.261251850245401
"OTX2",0.259524867474308
"SAR1A",0.255325028220698
"C1orf94",0.251732819663227
