,dPSI_U1_mut1_500_EtOH_vs_DMSO_EtOH
ABHD10,-0.322151745250221
ABHD13,0.343693381608152
AC020915.3,0.258304360586849
AC093752.1,-0.44101583609798
AC127502.1,0.432922222182806
AC138393.1,0.423216925283037
AC138894.1,-0.346105362371811
ACVR1B,-0.325337960628501
ADCY3,-0.29522967506448
AGAP1,0.279300427824025
AL512353.1,0.337964235030496
AP002495.1,0.302130652344483
ARHGAP5,-0.269364257995105
ARID1A,0.255043383972026
AXIN1,-0.358042255613061
C1QTNF6,0.265134768186278
CACNA2D1,0.261422311682086
CCDC150,-0.256915480870968
CDC37L1,0.280860804306102
CEP41,0.266491479986255
CEP57,-0.276182391475017
CEP63,-0.277305643683269
CLASP2,0.397830977490019
CREBRF,0.361330470472853
CSF1,0.28233335787809
CUL7,-0.250687982361432
DENND4A,-0.333512088120461
DPH1,-0.300835548790167
DSG2,0.263165907290128
DYRK3,-0.338108965335038
EMSY,-0.332316766769412
EP300,-0.272814182531082
ERGIC3,-0.267866915216752
FAIM,-0.259706320402269
FAM122C,0.291181296853789
FAM168B,0.250757651364063
FAM71E1,0.312065331810916
FCHO2,-0.257442334088267
FOXM1,0.257232747533571
FRG1HP,0.269915514262378
FRS2,-0.30676169069183
FSD1L,-0.319211723253135
GFPT1,-0.321869634611964
GJC1,0.386037457594727
GLMP,-0.379143897541482
GNGT1,0.262589278957701
GXYLT1,0.287938296146365
HDX,0.26899499837571
HECTD1,0.259672557822915
HMGXB4,-0.379326917878105
HOXB3,-0.300444430358315
HSD17B14,0.323962509035724
IGDCC4,0.269323705105738
IMPACT,0.36612236479106
INO80,-0.259264449004618
KDM6A,0.271944611779802
KIAA0556,0.320972643242488
KITLG,-0.286442170868942
KLHL28,0.287501750878665
LARP7,-0.469793442559359
LINC00467,-0.379124129865615
LINC00857,0.27816012126306
LRRC37A2,0.259176337083985
LRRC37A3,0.353319576992875
MADD,0.281938960783689
MAGI1,0.325051805117568
MARCHF8,0.258586913754832
MECP2,0.639269897206166
MRPL39,0.280383118714268
MTA1,0.285941458340161
MYCBP2,-0.252993806450658
MZF1,0.281465666489324
N4BP1,0.29711592915564
NIPA1,-0.393854793205618
NPL,-0.380381737011889
NSRP1,0.264536065555834
NUP58,-0.616625132071506
PAIP2B,0.313873651614932
PALLD,-0.411463111234233
PAXBP1,-0.298935418871207
PDE7A,0.306921782067988
PEA15,0.290676961877302
PELI1,-0.294375511871271
PHTF2,-0.255032626171589
PLA2G6,0.267451854151984
PNISR,0.457987873363049
POMT2,-0.361689762299984
PRPF39,-0.258217457985789
PSMA1,0.424038837351751
RAF1,-0.253693075708924
RICTOR,0.424851530754661
RNF32,0.564528722077831
RPL23AP82,-0.336368583323796
SEPTIN7P2,0.454443993149546
SETD5,-0.259050368984784
SETDB2,-0.252109621416695
SF3B3,-0.305575938220434
SMAD9,0.556365881991332
SMPD4BP,0.343391237369323
SNIP1,-0.277251701327604
SNX7,0.265753178652867
SOCS6,0.319039799606389
SPIDR,0.381167751872864
SPTLC1,-0.286139795365147
SSH2,0.48248677885825
SYNE1,0.334814939086232
TAF2,-0.284500080472582
TAF6,0.264345331899628
TBC1D14,0.258333160392101
TBL1XR1,0.575808574203559
TEPSIN,0.255215914925234
TMC3.AS1,0.537154983266451
TMEM159,0.257598824593623
TMEM184B,0.359330861911451
TPT1.AS1,0.284195587786037
TRAPPC10,0.294902446921859
TRIM41,0.34408027850911
TXNDC16,-0.327489237897421
TXNL4B,-0.411499834308164
UBOX5,0.285248612012363
UPF1,0.284484827986553
USP42,-0.333895091125011
WDR27,0.314156517140258
ZFP30,-0.335404303580147
ZFP62,-0.296120959479918
ZFR,-0.341908376667263
ZFYVE1,0.257981342858822
ZMIZ2,0.273005012861123
ZNF10,0.379616841739567
ZNF266,-0.267004710272765
ZNF350,-0.469553199825958
ZNF416,0.402168110121432
ZNF419,0.480138173713179
ZNF608,0.26222192797958
ZNF680,-0.280707808070069
ZNF75A,0.264605243832559
ZNF767P,0.322542842085926
ZNF777,0.330686949071221
ZNF780B,0.279712746465904
ZNF789,0.362580361527148
