"","1st_exp_NGN2.6152.10x","2nd_exp_NGN2.6152.10x"
"PDXDC2P",0.968242775526243,0.898369249623993
"AC009022.1",0.938839353956395,0.881782364882515
"GCFC2",0.91628651843036,0.886923301161764
"KCNT2",0.947676341475344,0.854226699872746
"DENND1A",0.911558765410158,0.881757257010398
"XRN2",0.928090521538434,0.859889064091906
"C12orf4",0.825331864128536,0.756930028729205
"WDR27",0.753444390425295,0.820408469200166
"CNGA3",0.813802591315326,0.663287243350476
"SETX",0.757635744478529,0.715467016821067
"GARNL3",0.789310111648904,0.643107018172685
"DHFR",0.716480679772927,0.679853666536198
"MELTF",0.663487098610555,0.73071411219674
"GXYLT1",0.765044505376789,0.627866232229198
"MLLT10",0.6992123020346,0.6921977644037
"ZMYM6",0.769271219838947,0.597071964079618
"LRIG2",0.636833547634265,0.709466028730594
"FHOD3",0.569287594551163,0.751645041121796
"ASCC3",0.742025573786927,0.562761197701329
"NKAIN2",0.689648686291858,0.613293387998096
"CLASP2",0.66704572316046,0.626932830679783
"AC068547.1",0.760438359339015,0.513482076320844
"PCDH10",0.706391685579159,0.563852471493717
"DPY30",0.549833460058757,0.671019577990112
"ZFP82",0.635560062439291,0.583007939660401
"TIAM1",0.685305687077562,0.508728179533978
"USP9Y",0.682104632068303,0.50597815787625
"STRN",0.649497159733255,0.538425677016698
"CHRM2",0.576348904346093,0.581141032623228
"HTT",0.314,0.828576539684057
"LYRM1",0.584,0.548
"GLRA3",0.574904531602376,0.539053177358126
"RBBP8",0.637032757093315,0.444750394478078
"GRIA1",0.606442432049086,0.426160092552721
"PNISR",0.540614713983636,0.4877994543714
"THSD7B",0.542755659383647,0.481542151205301
"WNK1",0.5527672256077,0.441283800962915
"ARMH3",0.514773195559418,0.472813355782502
"AC008581.2",0.585490041892476,0.39761356305885
"VPS29",0.545842189465368,0.435084362903456
"APIP",0.530292944664261,0.449315509043286
"SOS2",0.514353641051627,0.432730988718806
"ENAH",0.481056138117116,0.423779397356819
"TENT2",0.372570602202433,0.522736524735708
"SCO1",0.456976039983228,0.434553550959262
"TET1",0.380959464263413,0.494438952837545
"CSTF3",0.479817809714593,0.381901041106922
"ATG2B",0.412357304138507,0.417917651399721
"KLHL1",0.446036378408508,0.372019455393617
"STRN4",0.438678507209751,0.371017607739392
"SEC22A",0.435442577906452,0.364677510080188
"ELMO2",0.421,0.373
"GNAQ",0.442173423667008,0.347815878650772
"STOX2",0.417978378381219,0.368959647755623
"ENOX1",0.435484594566863,0.348190246664554
"MACROD2",0.438475946663258,0.334499117352416
"BECN1",0.453837684423337,0.295044036271282
"TMEM214",0.413784691817589,0.321249092343898
"CACNA1H",0.314,0.417
"RCC1",0.461574248126798,0.255421619481934
"ARHGAP5",0.422133825334136,0.292203887962456
"DCAF17",0.445198259749836,0.26609632390875
"FNIP2",0.391382623713637,0.318619897724454
"MAN1B1",0.416016973756522,0.285235900284359
"ADAMTS10",0.397324889234977,0.29360745316118
"ATP8A2",0.397764221829081,0.290519732918321
"MAP6",0.293622485000297,0.38889545715868
"SPRYD7",0.365518968138453,0.309752978980482
"FGF12",0.333844754373293,0.304478691980223
"CHD9",0.345188650738688,0.283158779835687
"DDX42",0.30385527436948,0.322546038596823
"SF3B3",0.348959505739448,0.261819973075765
"NLGN1",0.350007623627799,0.251321274276565
"RAB2B",0.284923376707008,0.271959587480243
"CACNB4",-0.313,0.476808145233518
"MEMO1",-0.521928085311499,0.614411682052188
"SNAP23",-0.376,0.406165876836391
"FAM174A",-0.317,0.325143723112638
"TMEM50B",-0.399,0.374022383163263
"DMAC2L",-0.449,0.417105818632266
"PMS1",-0.649530726275412,0.605514666918653
"PDIA5",-0.501506158094809,0.372599790141742
"MFN2",-0.514,0.382014047575285
"PITPNB",-0.427791034394784,0.289552160187915
"HAUS3",-0.673962167300294,0.505710909540062
"CACNA1C",-0.635,0.4654066402656
"STXBP5L",-0.643,0.460491826639579
"EVC",-0.904354189431049,0.680253979017282
