,dPSI_NGN2.6866.3x,dPSI_NGN2.6866.10x
AC009022.1,0.800889357009951,0.934261058216331
PDXDC2P,0.776793517925253,0.930100911097665
KCNT2,0.745008898676679,0.891212125749689
LIMCH1,0.731,0.832
ARL15,0.685,0.79
XRN2,0.608927634135259,0.890593606777446
DENND1A,0.572787487217642,0.91620935692043
PDXDC1,0.563332324321815,0.86987454828893
WDR27,0.557709407988808,0.913839409288783
KLHL1,0.556742788598272,0.364848475378217
LARP7,0.55,0.534
ABCB8,0.548,0.797
POMT2,0.538,0.901
LRRC42,0.512,0.65
EVC,0.487863486235123,0.841361023720308
TNFRSF25,0.477,0.477
HTT,0.467482744701866,0.878101266194311
FHOD3,0.465403478358908,0.655535072827083
HAUS3,0.431410604640487,0.577863521985176
TRIM65,0.417,0.390183492992752
ASCC3,0.40060288532201,0.702198537974861
PDE7A,0.4,0.774
LINC02210,0.398474811318386,0.718822641684219
DLGAP4,0.393,0.627
DHFR,0.392871345634654,0.624511391242153
LYRM1,0.382,0.485
CLASP2,0.381891940166394,0.681936088723976
SKP1,0.371,0.428
LRIG2,0.368291163308041,0.689185900614939
TAF2,0.366,0.676
SETX,0.353109006557811,0.738569290775685
SPART,0.349502925302352,0.400515974722907
ZFP82,0.344450520743289,0.629639396422502
STXBP5L,0.342734962373873,0.432941820937022
ADAM17,0.33329990555464,0.393
RAF1,0.333,0.697
TENT2,0.32081074989528,0.455517298111426
KDM6A,0.319,0.657
CLN3,0.31,0.337
AXIN1,0.309,0.645
STRN3,0.305,0.323
PNISR,0.284493590361603,0.533146850781854
ENAH,0.264892224467614,0.487372805499111
