dPSI_NGN2.4088.10x,dPSI_NGN2.4090.10x,dPSI_NGN2.4714.10x,dPSI_NGN2.4741.10x,dPSI_NGN2.4748.10x,dPSI_NGN2.5420.10x,dPSI_NGN2.6152.10x,dPSI_NGN2.6527.10x,dPSI_NGN2.6866.10x,dPSI_NGN2.6960.10x,dPSI_NGN2.9701.10x
0.849,0.735,0.82,0.801,0.822,0.764872724906475,0.615,0.698,0.797,0.745,0.765
0.904107553067634,0.89580741546899,0.933761415221842,0.933754615705187,0.900348674886039,0.920250104495729,0.881782364882515,0.921853255785035,0.934261058216331,0.911328096502865,0.913804609182256
0.79,0.886,0.79,0.954,0.79,0.79,0.928,0.838,0.79,0.79,0.919
0.635,0.553,0.633,0.552,0.596,0.623,0.593,0.558,0.627,0.634,0.553
0.98080286386132,0.825810011337413,0.949947397306921,0.980828267969594,0.922360103753408,0.969299601563092,0.828576539684057,0.848906456905245,0.878101266194311,0.95920902635111,0.909734451096415
0.800882598623552,0.36049387453944,0.783349911878965,0.367602241733544,0.356071563564063,0.339320858311545,0.372019455393617,0.342085856076986,0.364848475378217,0.382843257475607,0.763403809196148
0.696,0.357,0.663,0.845,0.687,0.497,0.423,0.761,0.534,0.564,0.332
0.804,0.829,0.835,0.821,0.803,0.818,0.841,0.828,0.832,0.814,0.841
0.703,0.69,0.685,0.753,0.745,0.66,0.665,0.661,0.65,0.702,0.629
0.787,0.838,0.89,0.846,0.879,0.671,0.723,0.784,0.774,0.878,0.742
0.427,0.35,0.451,0.472,0.485,0.793493484110969,0.397,0.414,0.86987454828893,0.41,0.393
0.927563381490911,0.860589486368964,0.95567216542939,0.947588694070771,0.897865127237225,0.865966905239742,0.898369249623993,0.941971990810736,0.930100911097665,0.928147543314,0.845963400545525
0.966,0.947,0.979,0.981,0.93,0.928,0.938,0.915,0.901,0.946,0.903
0.794,0.662,0.809,0.912,0.75,0.739,0.725,0.654,0.697,0.77,0.695
0.276746922544241,0.449,0.495,0.263839875996795,0.355903768253931,0.462,0.444,0.448,0.428,0.325589868177239,0.468
0.323,0.342,0.332,0.325,0.341,0.361,0.317,0.349,0.323,0.314,0.352
0.782,0.63,0.763,0.653,0.654,0.635,0.583,0.576,0.676,0.674,0.608
0.457760804379381,0.466749357365,0.564150691501796,0.573674346745485,0.552307192915488,0.398445441760909,0.522736524735708,0.4925051722979,0.455517298111426,0.650557495514498,0.527766315353998
0.477,0.462,0.443,0.451,0.477,0.477,0.477,0.477,0.477,0.477,0.477
0.852995149981196,0.916182875223599,0.891174800122478,0.925624671051856,0.946233350770015,0.896106309044891,0.859889064091906,0.88815152096998,0.890593606777446,0.920664236421435,0.841158260861993
0.309,0.494,0.396,0.352,0.427,0.353,0.383,0.328,0.393,0.69,0.316
0.3,0.593,0.345,0.653,0.689,0.577,0.881757257010398,0.614,0.645,0.893342706057173,0.507
0.966180226741753,0.883237097611459,0.921525270669062,0.890047015801357,0.888972383008311,0.926796407011788,0.854226699872746,0.826951032664529,0.91620935692043,0.807350645088627,0.811228345301777
0.892367896885726,0.585,0.776221050463821,0.773,0.875300887050668,0.733818635012865,0.628,0.889613698363191,0.891212125749689,0.825,0.893814779508676
0.687,0.685811954698699,0.858,0.863051816064159,0.769,0.545,0.609369323251885,0.62,0.657,0.88394514035595,0.813650973781281
0.334,0.664352863032894,0.426,0.621665799425834,0.780234973035227,0.635481062676431,0.583007939660401,0.570276514755454,0.718822641684219,0.66170597357777,0.627665876109282
0.695538562940406,0.686533307346404,0.719183763541601,0.892225049486084,0.623195487985567,0.395,0.680253979017282,0.787500318153923,0.629639396422502,0.831007970162942,0.646142592198234
0.687631872699819,0.389,0.288184948983119,0.398,0.88095111290271,0.717570242344826,0.751645041121796,0.397,0.702198537974861,0.422,0.47521282572506
0.325,0.580790949992977,0.413,0.59772442268924,0.395,0.729496938657196,0.715467016821067,0.534334383729542,0.337,0.569190587003411,0.412
0.622836844677923,0.819231813773377,0.676023666588684,0.912018428486665,0.624338895651832,0.676,0.67,0.803219406737646,0.487372805499111,0.944771253224922,0.452
0.968019204093252,0.583,0.963700537235266,0.752937917320973,0.890839678223761,0.797152344680101,0.541,0.774110697433587,0.841361023720308,0.790611878405564,0.534
0.708746738582835,0.892596159658519,0.783289125496106,0.721478489985822,0.832143055541085,0.633641662364182,0.460491826639579,0.683950946687909,0.655535072827083,0.799738989599959,0.368
0.762705961693154,0.689346214910737,0.823749996940204,0.661,0.780417656114138,0.613451707774844,0.709466028730594,0.674,0.738569290775685,0.675,NA
0.683,0.720291560241404,0.684,0.889052283944059,0.692,0.398,0.73071411219674,0.864400575954182,0.913839409288783,0.941670021937497,NA
0.893300995338803,0.436939037746623,0.46,0.705228996695809,0.498,0.484740757031316,0.437,0.541,0.681936088723976,0.671574390649654,NA
0.748151749363081,0.52865723358708,0.863108811912533,0.748281456089413,0.730325634458919,0.5686522082798,0.538425677016698,0.497125160517435,0.624511391242153,0.791812141454751,NA
0.757723134644184,0.38867361281248,0.820494570504951,0.352,0.705981599323471,0.554,0.476808145233518,0.651757383201118,0.432941820937022,0.541,NA
0.541,0.723058887206414,0.323,0.476143846307372,0.37,0.40054397057009,0.613293387998096,0.628331905702533,0.689185900614939,0.78781797609692,NA
0.498006160480899,0.353,0.516908653740841,0.913091041353235,0.446819930766676,0.389628113181544,0.537,0.365,0.577863521985176,0.713923482921476,NA
0.729056265433403,0.422,0.649907769028469,0.698672966850616,0.616583489079066,0.466591437670429,0.417,NA,0.390183492992752,0.635320219555111,NA
0.614207455918791,0.597,0.873923979393604,0.51936276778674,0.76,0.567933839064829,0.433,NA,0.485,0.524,NA
0.6,0.322,0.722754891112585,0.408,0.617,0.636465007377477,0.727,NA,0.533146850781854,0.713,NA
0.645,0.790230605759606,0.721,0.870387134993678,0.823659404847406,0.561936142330403,0.886923301161764,NA,0.400515974722907,0.417,NA
0.390522400153187,0.347,0.390086300367105,0.806,0.497,0.373891086748778,0.508728179533978,NA,NA,0.638421292362556,NA
0.527999677049402,0.565571296401471,0.648,0.356,0.521500374551419,0.404,0.552,NA,NA,0.403662834590812,NA
0.793775622078133,0.416,0.840403856837185,0.831606326183785,0.628,0.513,0.366,NA,NA,0.746213932986066,NA
0.476,0.529,0.514,0.824523764460384,0.857567741288252,0.622,0.356,NA,NA,0.452,NA
0.487,NA,0.471,0.799,0.316326711955693,0.4262103518674,NA,NA,NA,0.447,NA
0.326,NA,0.625,0.918070084396356,0.647671683906198,0.519891775381908,NA,NA,NA,0.616058192494859,NA
0.900403751732809,NA,0.893614307104549,0.478,0.864,0.704,NA,NA,NA,0.542,NA
0.488576802545533,NA,0.554619338620153,0.730650283107317,0.312,0.368,NA,NA,NA,0.622153448113627,NA
0.747411027652605,NA,0.683493799576776,0.841021447975364,0.495,0.513428159073564,NA,NA,NA,NA,NA
0.349,NA,0.319,0.348,0.443946100764304,0.81418692061879,NA,NA,NA,NA,NA
0.366,NA,0.66820320231064,0.786217246558463,0.388866146793778,0.467156135352041,NA,NA,NA,NA,NA
0.803621874460514,NA,0.718122546505499,0.368,NA,0.381,NA,NA,NA,NA,NA
0.589454008977102,NA,0.371,0.598,NA,0.67396173698001,NA,NA,NA,NA,NA
0.766,NA,0.667598732546271,0.837,NA,0.45,NA,NA,NA,NA,NA
0.419,NA,0.354,0.561082427162276,NA,0.561627468877023,NA,NA,NA,NA,NA
0.348,NA,0.905583573465414,0.467332718332793,NA,0.619175705917974,NA,NA,NA,NA,NA
0.620885333307099,NA,0.916,0.466,NA,0.633602624057711,NA,NA,NA,NA,NA
0.960739316433452,NA,0.335380532828646,0.999998154694213,NA,NA,NA,NA,NA,NA,NA
0.434,NA,0.417014253050185,0.885511898354786,NA,NA,NA,NA,NA,NA,NA
0.430227697292398,NA,0.840406272778339,0.392,NA,NA,NA,NA,NA,NA,NA
0.696618114624212,NA,0.412,0.721240212638807,NA,NA,NA,NA,NA,NA,NA
0.489,NA,0.443,0.749607861866596,NA,NA,NA,NA,NA,NA,NA
0.413,NA,0.482,0.651336676745122,NA,NA,NA,NA,NA,NA,NA
0.741,NA,0.390164529069926,0.387,NA,NA,NA,NA,NA,NA,NA
0.819713456901021,NA,0.366715261858185,0.928083057215022,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.715744919624528,0.35,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.368,0.47,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.849368873829896,0.342,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.648907140188311,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.747957065655835,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.889594284439742,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.604,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.879882911918238,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.906831912602481,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.531512593004638,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.687717775760257,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.898,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA
