"","dPSI_iPSC_1755497_10x"
"ARL15",0.808
"C12orf4",0.789624989340162
"POMT2",0.763
"ZNF37BP",0.748068358074918
"ASAP1",0.676
"MAOA",0.651424341539475
"HDX",0.614
"LARP7",0.603
"SKP1",0.598844602854376
"ADAMTS19",0.580204051125919
"LINC02210",0.563385642215227
"MADD",0.549
"KDM6A",0.543
"PDE7A",0.538
"LRRC42",0.516
"AC084375.1",0.487510930344072
"CLASP2",0.481570741842051
"KCNT2",0.47895285295994
"NAV2",0.472
"HAUS3",0.471638971194692
"RAB3IP",0.47
"ZFP82",0.460136118810476
"GRAMD2B",0.455605200701629
"TAF2",0.442
"LYRM1",0.441
"FAM221A",0.44
"AC104109.3",0.437827536328276
"AP2M1",0.430548061144473
"MYCBP2",0.429
"HTT",0.412090509604509
"NUP58",0.411996333411949
"CACNA2D1",0.410832442178474
"SENP6",0.408678879624876
"DLGAP4",0.407039857098258
"DYRK1A",0.398661417690294
"C14orf132",0.395267528625907
"RASSF8-AS1",0.394
"LARS1",0.389
"FAAP20",0.388
"LRP8",0.378
"VPS29",0.377591872589859
"DRG2",0.377
"TPTEP2",0.373929483980482
"BECN1",0.367564477189223
"CRYM",0.364276963633681
"HSD17B4",0.362689530250067
"ELMO2",0.357
"FOXM1",0.350959475644516
"AC138894.1",0.348
"TENT2",0.345714521481684
"MMS22L",0.343815591328102
"STRN3",0.342
"PIN1",0.338735388159821
"ABCB8",0.332
"FBN2",0.3302423482067
"ZFAND4",0.33
"AXIN1",0.329
"EXOC6B",0.326
"AC009022.1",0.324091089131115
"ZNF618",0.314463704784557
"ZMYM6",0.307985364683988
"ZNF680",0.307300323195218
"WDTC1",0.303
"APLP2",0.301
"GXYLT1",0.300936483700035
"ADSL",0.299243512461504
"ZNF730",0.292446044408527
"RCC1",0.285884569490129
"PNISR",0.282841060126112
"ARMCX6",0.282509273118792
"SLC10A7",0.27988394529811
"ERGIC3",0.263123526305511
"SPIDR",0.261118191352857
"STRN",0.261060888777901
"GRB10",0.253633454253075
"CHD9",0.250353643569795
"RAF1",0.250295044214715
